2025-08-22 11:27:05,306 | INFO |   写出: xyz_output\feet\094_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,328 | INFO |   写出: xyz_output\feet\095_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,347 | INFO |   写出: xyz_output\feet\095_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,370 | INFO |   写出: xyz_output\feet\096_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,394 | INFO |   写出: xyz_output\feet\096_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,418 | INFO |   写出: xyz_output\feet\097_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,441 | INFO |   写出: xyz_output\feet\097_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,461 | INFO |   写出: xyz_output\feet\098_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,481 | INFO |   写出: xyz_output\feet\098_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,500 | INFO |   写出: xyz_output\feet\099_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,522 | INFO |   写出: xyz_output\feet\099_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,540 | INFO |   写出: xyz_output\feet\100_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,558 | INFO |   写出: xyz_output\feet\100_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,583 | INFO |   写出: xyz_output\feet\101_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,602 | INFO |   写出: xyz_output\feet\101_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,624 | INFO |   写出: xyz_output\feet\102_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,644 | INFO |   写出: xyz_output\feet\102_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,661 | INFO |   写出: xyz_output\feet\103_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,683 | INFO |   写出: xyz_output\feet\103_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,708 | INFO |   写出: xyz_output\feet\104_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,726 | INFO |   写出: xyz_output\feet\104_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,743 | INFO |   写出: xyz_output\feet\105_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,762 | INFO |   写出: xyz_output\feet\105_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,782 | INFO |   写出: xyz_output\feet\106_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,801 | INFO |   写出: xyz_output\feet\106_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,822 | INFO |   写出: xyz_output\feet\107_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,839 | INFO |   写出: xyz_output\feet\107_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,857 | INFO |   写出: xyz_output\feet\108_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,878 | INFO |   写出: xyz_output\feet\108_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,897 | INFO |   写出: xyz_output\feet\109_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,915 | INFO |   写出: xyz_output\feet\109_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,932 | INFO |   写出: xyz_output\feet\110_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,949 | INFO |   写出: xyz_output\feet\110_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,967 | INFO |   写出: xyz_output\feet\111_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,985 | INFO |   写出: xyz_output\feet\111_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,005 | INFO |   写出: xyz_output\feet\112_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,027 | INFO |   写出: xyz_output\feet\112_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,045 | INFO |   写出: xyz_output\feet\113_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,065 | INFO |   写出: xyz_output\feet\113_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,086 | INFO |   写出: xyz_output\feet\114_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,105 | INFO |   写出: xyz_output\feet\114_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,126 | INFO |   写出: xyz_output\feet\115_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,149 | INFO |   写出: xyz_output\feet\115_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,168 | INFO |   写出: xyz_output\feet\116_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,189 | INFO |   写出: xyz_output\feet\116_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,208 | INFO |   写出: xyz_output\feet\117_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,228 | INFO |   写出: xyz_output\feet\117_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,248 | INFO |   写出: xyz_output\feet\118_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,266 | INFO |   写出: xyz_output\feet\118_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,285 | INFO |   写出: xyz_output\feet\119_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,305 | INFO |   写出: xyz_output\feet\119_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,323 | INFO |   写出: xyz_output\feet\120_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,342 | INFO |   写出: xyz_output\feet\120_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:06,360 | INFO |   写出: xyz_output\feet\121_foot_L.xyz | 点数=4096 | 含法向量
